Country,Food Supply(kilocalories/person&day),Life Expectancy(in years),Number of People in Poverty on Average,Year
Uzbekistan,0,69.4,,1987
Vanuatu,2670,62.4,,1987
Venezuela,2570,72.1,0.572,1987
Vietnam,2000,68.4,0,1987
Yemen,2160,57.7,0,1987
Yugoslavia,3660,,,1987
Zambia,2030,54.2,0,1987
Zimbabwe,2020,63.6,,1987
Afghanistan,2520,48.5,,1988
Albania,2590,72.4,0,1988
Algeria,2700,66.6,1.77,1988
Andorra,,78.9,,1988
Angola,1610,48.6,0,1988
Antigua and Barbuda,2360,74.3,,1988
Argentina,3010,72.1,0,1988
Armenia,0,55.3,0,1988
Australia,3120,76.4,0,1988
Austria,3420,75.5,0,1988
Azerbaijan,0,66.8,0,1988
Bahamas,2790,70.4,,1988
Bahrain,,69.4,,1988
Bangladesh,2110,56.5,0,1988
Barbados,3090,74,,1988
Belarus,0,72.2,0.00811,1988
Belgium,0,75.7,0.0663,1988
Belize,2500,72.9,0,1988
Benin,1930,55.2,0,1988
Bermuda,2890,,,1988
Bhutan,,58.8,0,1988
Bolivia,1960,60.5,0,1988
Bosnia and Herzegovina,0,72.2,0,1988
Botswana,2200,62.2,0,1988
Brazil,2690,66.1,21.2,1988
Brunei,2820,69.2,,1988
Bulgaria,3700,70.1,0,1988
Burkina Faso,2020,50.8,0,1988
Burundi,,49.3,0,1988
Cambodia,1940,57.1,0,1988
Cameroon,1990,58.5,0,1988
Canada,3020,77,0,1988
Cape Verde,2660,69,0,1988
Central African Republic,1870,49,0,1988
Chad,1750,53.3,0,1988
Chile,2460,73.2,0,1988
China,2420,67.5,0,1988
Colombia,2530,70.6,3.42,1988
Comoros,,57.8,0,1988
"Congo, Dem. Rep.",,54.2,0,1988
"Congo, Rep.",2140,55,0,1988
Costa Rica,2700,76.6,0,1988
Cote d'Ivoire,2670,56.9,1.56,1988
Croatia,0,71.8,0.0019,1988
Cuba,2990,74.8,,1988
Cyprus,2630,74.5,,1988
Czech Republic,0,71.9,0,1988
Czechoslovakia,3590,,,1988
Denmark,3250,75.1,0,1988
Djibouti,1590,60.8,0,1988
Dominica,2930,71.3,,1988
Dominican Republic,2230,71.1,0,1988
Ecuador,2340,70.8,0,1988
Egypt,3130,62.7,0,1988
El Salvador,2230,68.7,0,1988
Equatorial Guinea,,51,,1988
Eritrea,,46,,1988
Estonia,0,71,0.00078,1988
Eswatini,2420,61,0,1988
Ethiopia,0,47.6,0,1988
Fiji,2570,66.2,0,1988
Finland,3100,75.1,0,1988
France,3560,76.8,0,1988
French Polynesia,2760,,,1988
Gabon,2490,60.5,0,1988
Gambia,2460,60.3,0,1988
Georgia,0,68.7,0,1988
Germany,3400,75.5,0,1988
Ghana,1910,58.9,7.01,1988
Greece,3540,76.8,0,1988
Grenada,2400,69.5,,1988
Guatemala,2350,61,0,1988
Guinea,2510,51,0,1988
Guinea-Bissau,2210,47.7,0,1988
Guyana,2440,63.1,0,1988
Haiti,1740,54.1,0,1988
Honduras,2240,69.2,0,1988
"Hong Kong, China",3210,77,,1988
Hungary,3530,70,0,1988
Iceland,3110,77.7,,1988
India,2280,58.6,447,1988
Indonesia,2590,63.2,0,1988
Iran,2710,66.8,0,1988
Iraq,3440,62,0,1988
Ireland,3590,74.5,0,1988
Israel,3360,76.5,0,1988
Italy,3540,76.7,0,1988
Jamaica,2540,74.5,0.0935,1988
Japan,2940,79,0,1988
Jordan,2670,70.3,0,1988
Kazakhstan,0,68.6,0.0032,1988
Kenya,2070,63.3,0,1988
Kiribati,2580,54.4,,1988
Kuwait,3030,75.4,,1988
Kyrgyz Republic,0,67.1,0,1988
Lao,1900,51.8,0,1988
Latvia,0,71.1,0.00053,1988
Lebanon,3130,71.1,,1988
Lesotho,2300,60.6,0,1988
Liberia,2590,52.8,0,1988
Libya,,72,,1988
Lithuania,0,72.2,0.00219,1988
Luxembourg,0,74.6,,1988
"Macao, China",2630,,,1988
Madagascar,2190,54.9,0,1988
Malawi,2000,50,0,1988
Malaysia,2630,71.2,0,1988
Maldives,2300,64.2,0,1988
Mali,2370,49.7,0,1988
Malta,3140,76.1,,1988
Marshall Islands,,63.3,,1988
Mauritania,2520,58.8,0,1988
Mauritius,2750,69.7,,1988
Mexico,3010,69.9,0,1988
"Micronesia, Fed. Sts.",,61,0,1988
Moldova,0,68.6,0.58,1988
Monaco,,77.8,,1988
Mongolia,2280,60,,1988
Montenegro,0,73.8,0,1988
Morocco,3050,65.7,0,1988
Mozambique,1820,51,0,1988
Myanmar,1580,54.5,,1988
Namibia,2120,61.1,0,1988
Nauru,,62.1,,1988
Nepal,2250,56.8,0,1988
Netherlands,3220,77.1,0,1988
Netherlands Antilles,2670,,,1988
New Caledonia,2700,,,1988
New Zealand,3120,74.8,,1988
Nicaragua,2110,68.2,0,1988
Niger,2150,46.6,0,1988
Nigeria,2020,54.6,0,1988
North Korea,2130,67.3,,1988
North Macedonia,0,69.4,0,1988
Norway,3120,76.5,0,1988
Oman,0,66,,1988
Pakistan,2190,61,0,1988
Palau,,64.3,,1988
Palestine,,68.2,0,1988
Panama,2190,76.1,0,1988
Papua New Guinea,,62.4,0,1988
Paraguay,2500,75.5,0,1988
Peru,2250,68.9,0,1988
Philippines,2140,67.4,19.8,1988
Poland,3470,71.4,0,1988
Portugal,3330,74.1,,1988
Qatar,,70.5,,1988
Romania,2920,69.6,0,1988
Russia,0,70.1,0.749,1988
Rwanda,1930,51.8,0,1988
Samoa,2700,66.6,,1988
San Marino,,79.2,,1988
Sao Tome and Principe,1990,63.4,0,1988
Saudi Arabia,2800,68.2,,1988
Senegal,2110,57.9,0,1988
Serbia,0,70,0,1988
Serbia and Montenegro,0,,,1988
Seychelles,,70.9,0,1988
Sierra Leone,1960,50.4,0,1988
Singapore,,74.7,,1988
Slovak Republic,0,71.4,0,1988
Slovenia,0,73.3,0,1988
Solomon Islands,2220,55.6,,1988
Somalia,,47,,1988
South Africa,2870,63.5,0,1988
South Korea,3090,71.3,,1988
South Sudan,,53.3,,1988
Spain,3210,76.9,0,1988
Sri Lanka,2250,70.1,0,1988
St. Kitts and Nevis,2730,65.4,,1988
St. Lucia,2410,70.2,0,1988
St. Vincent and the Grenadines,2370,70.2,,1988
Sudan,2050,57.9,0,1988
Suriname,2490,69.7,0,1988
Sweden,2950,77.4,0,1988
Switzerland,3440,77.8,0,1988
Syria,,69.1,0,1988
Taiwan,2830,74.1,,1988
Tajikistan,0,66.9,0,1988
Tanzania,2220,56.2,0,1988
Thailand,2080,71.2,9.48,1988
Timor-Leste,2090,59.9,0,1988
Togo,1940,57.6,0,1988
Tonga,,70.7,,1988
Trinidad and Tobago,2780,69,0.0171,1988
Tunisia,3160,71.7,0,1988
Turkey,3720,68,0,1988
Turkmenistan,0,65.6,0.501,1988
Tuvalu,,59.9,,1988
UAE,3390,68.5,,1988
Uganda,2200,49.8,0,1988
UK,3250,75.4,0,1988
Ukraine,0,71.3,0.912,1988
Uruguay,2590,72.7,0,1988
USA,3460,75.2,0,1988
USSR,3400,,,1988
Uzbekistan,0,69.3,,1988
Vanuatu,2590,63.1,,1988
Venezuela,2770,72.5,0,1988
Vietnam,1990,68.6,0,1988
Yemen,2250,58.2,0,1988
Yugoslavia,3640,,,1988
Zambia,2060,53.9,0,1988
Zimbabwe,2050,63.6,,1988
Afghanistan,2460,52.7,,1989
Albania,2570,72.5,0,1989
Algeria,2760,67.1,0,1989
Andorra,,79,,1989
Angola,1590,49.4,0,1989
Antigua and Barbuda,2490,74.3,,1989
Argentina,2960,72.3,0,1989
Armenia,0,71,0,1989
Australia,3130,76.5,0.114,1989
Austria,3480,75.7,0,1989
Azerbaijan,0,67,0,1989
Bahamas,2780,70.6,,1989
Bahrain,,69.5,,1989
Bangladesh,2090,57.7,75,1989
Barbados,3130,74,,1989
Belarus,0,71.6,0,1989
Belgium,0,75.9,0,1989
Belize,2440,72.8,0,1989
Benin,2110,55.3,0,1989
Bermuda,2910,,,1989
Bhutan,,59.6,0,1989
Bolivia,2030,61.1,0,1989
Bosnia and Herzegovina,0,72.3,0,1989
Botswana,2110,62.1,0,1989
Brazil,2740,66.7,20.2,1989
Brunei,2880,69.3,,1989
Bulgaria,3620,70.1,0.00355,1989
Burkina Faso,2090,50.9,0,1989
Burundi,,49,0,1989
Cambodia,1890,57.4,0,1989
Cameroon,2030,58.5,0,1989
Canada,3040,77.2,0,1989
Cape Verde,2470,69.4,0,1989
Central African Republic,1900,48.7,0,1989
Chad,1670,53.7,0,1989
Chile,2500,73.2,0,1989
China,2400,67.7,0,1989
Colombia,2570,70.8,2.64,1989
Comoros,,58,0,1989
"Congo, Dem. Rep.",,54.3,0,1989
"Congo, Rep.",2100,54.6,0,1989
Costa Rica,2710,76.5,0.318,1989
Cote d'Ivoire,2610,56.3,0,1989
Croatia,0,72.2,0,1989
Cuba,3010,75.3,,1989
Cyprus,2690,74.8,,1989
Czech Republic,0,71.9,0,1989
Czechoslovakia,3610,,,1989
Denmark,3180,75.1,0,1989
Djibouti,1530,60.8,0,1989
Dominica,2990,71.3,,1989
Dominican Republic,2270,71.6,0.863,1989
Ecuador,2290,71.5,0,1989
Egypt,3110,63.1,0,1989
El Salvador,2260,67.7,0.803,1989
Equatorial Guinea,,51.1,,1989
Eritrea,,46.3,,1989
Estonia,0,70.5,0,1989
Eswatini,2450,61.4,0,1989
Ethiopia,0,47.3,0,1989
Fiji,2580,66.2,0,1989
Finland,3230,75.3,0,1989
France,3560,77,0.976,1989
French Polynesia,2760,,,1989
Gabon,2470,60.5,0,1989
Gambia,2410,60.4,0,1989
Georgia,0,68.5,0,1989
Germany,3400,75.7,0,1989
Ghana,1930,59.2,7.03,1989
Greece,3630,77.1,0,1989
Grenada,2450,69.4,,1989
Guatemala,2220,61.6,2.46,1989
Guinea,2500,51.4,0,1989
Guinea-Bissau,2190,48.1,0,1989
Guyana,2410,62.2,0,1989
Haiti,1700,54.4,0,1989
Honduras,2290,69.1,1.96,1989
"Hong Kong, China",3240,77.3,,1989
Hungary,3500,69.4,0.00419,1989
Iceland,3150,77.9,,1989
India,2370,59.1,0,1989
Indonesia,2600,63.7,0,1989
Iran,2860,68.1,0,1989
Iraq,3440,66.8,0,1989
Ireland,3590,74.7,0,1989
Israel,3340,77,0,1989
Italy,3560,77,0.193,1989
Jamaica,2600,74.8,0,1989
Japan,2970,79.3,0,1989
Jordan,2640,70.7,0,1989
Kazakhstan,0,68.3,0,1989
Kenya,2110,62.8,0,1989
Kiribati,2540,54.5,,1989
Kuwait,3070,75.3,,1989
Kyrgyz Republic,0,67,0,1989
Lao,1940,52.4,0,1989
Latvia,0,70.3,0,1989
Lebanon,3230,70.3,,1989
Lesotho,2330,60.7,0,1989
Liberia,2610,52.8,0,1989
Libya,,72.2,,1989
Lithuania,0,71.6,0,1989
Luxembourg,0,75,,1989
"Macao, China",2770,,,1989
Madagascar,2190,55.4,0,1989
Malawi,1950,49.7,0,1989
Malaysia,2630,71.6,0.34,1989
Maldives,2420,64.9,0,1989
Mali,2370,50,0,1989
Malta,3170,76.3,,1989
Marshall Islands,,63.1,,1989
Mauritania,2550,59,0,1989
Mauritius,2760,69.9,,1989
Mexico,2980,70.3,6.7,1989
"Micronesia, Fed. Sts.",,61.2,0,1989
Moldova,0,68.6,0,1989
Monaco,,78,,1989
Mongolia,2250,60.2,,1989
Montenegro,0,74.2,0,1989
Morocco,2990,66.1,0,1989
Mozambique,1740,51.4,0,1989
Myanmar,1470,55.1,,1989
Namibia,2040,62.3,0,1989
Nauru,,62.1,,1989
Nepal,2320,57.6,0,1989
Netherlands,3150,77,0,1989
Netherlands Antilles,2660,,,1989
New Caledonia,2750,,,1989
New Zealand,3080,75.1,,1989
Nicaragua,2080,71.7,0,1989
Niger,2160,46.9,0,1989
Nigeria,2100,54.6,0,1989
North Korea,2230,67.7,,1989
North Macedonia,0,69.4,0,1989
Norway,3190,76.7,0,1989
Oman,0,66.3,,1989
Pakistan,2380,61,0,1989
Palau,,64.6,,1989
Palestine,,68.8,0,1989
Panama,2180,75,0.557,1989
Papua New Guinea,,62.5,0,1989
Paraguay,2540,75.6,0,1989
Peru,2140,69.2,0,1989
Philippines,2210,67.9,0,1989
Poland,3490,71.2,0.0304,1989
Portugal,3360,74.3,,1989
Qatar,,70.3,,1989
Romania,2920,69.7,0.0672,1989
Russia,0,69.8,0,1989
Rwanda,1960,51.2,0,1989
Samoa,2620,66.8,,1989
San Marino,,79.5,,1989
Sao Tome and Principe,2140,63,0,1989
Saudi Arabia,2750,68.2,,1989
Senegal,2100,58.3,0,1989
Serbia,0,70.1,0,1989
Serbia and Montenegro,0,,,1989
Seychelles,,70.5,0,1989
Sierra Leone,1970,50.7,0,1989
Singapore,,75.2,,1989
Slovak Republic,0,71.3,0,1989
Slovenia,0,73.7,0,1989
Solomon Islands,2190,55.7,,1989
Somalia,,49.5,,1989
South Africa,2830,63.8,0,1989
South Korea,3060,71.7,,1989
South Sudan,,54.2,,1989
Spain,3240,76.9,0,1989
Sri Lanka,2200,69.3,0,1989
St. Kitts and Nevis,2630,65.4,,1989
St. Lucia,2450,70.3,0,1989
St. Vincent and the Grenadines,2310,70.3,,1989
Sudan,1960,57.9,0,1989
Suriname,2470,68.2,0,1989
Sweden,2980,77.8,0,1989
Switzerland,3420,77.9,0,1989
Syria,,68.9,0,1989
Taiwan,2910,74.4,,1989
Tajikistan,0,66.9,0,1989
Tanzania,2270,55.8,0,1989
Thailand,2060,71.1,0,1989
Timor-Leste,2080,60.2,0,1989
Togo,1970,57.8,0,1989
Tonga,,70.8,,1989
Trinidad and Tobago,2680,69.1,0,1989
Tunisia,3150,72.1,0,1989
Turkey,3720,68.3,0,1989
Turkmenistan,0,65.6,0,1989
Tuvalu,,60.3,,1989
UAE,3370,68.6,,1989
Uganda,2330,49.1,12,1989
UK,3220,75.6,0,1989
Ukraine,0,71,0,1989
Uruguay,2500,73,0.0151,1989
USA,3430,75.4,0,1989
USSR,3350,,,1989
Uzbekistan,0,69.3,,1989
Vanuatu,2510,63,,1989
Venezuela,2300,72.4,1.22,1989
Vietnam,1990,68.9,0,1989
Yemen,2200,58.6,0,1989
Yugoslavia,3640,,,1989
Zambia,2070,53,0,1989
Zimbabwe,2050,63.2,,1989
Afghanistan,2310,53.8,,1990
Albania,2570,72.8,0,1990
Algeria,2750,67.5,0,1990
Andorra,,79,,1990
Angola,1640,49.7,0,1990
Antigua and Barbuda,2470,74,,1990
Argentina,2910,72.5,0,1990
Armenia,0,70.6,0,1990
Australia,3170,77,0,1990
Austria,3510,76,0,1990
Azerbaijan,0,66.9,0,1990
Bahamas,2710,70.9,,1990
Bahrain,,69.5,,1990
Bangladesh,2110,58.2,0,1990
Barbados,3110,73.9,,1990
Belarus,0,71.3,0,1990
Belgium,0,76.2,0,1990
Belize,2480,72.8,0,1990
Benin,2130,55.7,0,1990
Bermuda,2790,,,1990
Bhutan,,60.3,0,1990
Bolivia,1940,61.7,0,1990
Bosnia and Herzegovina,0,73.2,0,1990
Botswana,2220,61.3,0,1990
Brazil,2720,67.3,24.3,1990
Brunei,2800,69.4,,1990
Bulgaria,3130,70.1,0,1990
Burkina Faso,2200,50.7,0,1990
Burundi,,48.7,0,1990
Cambodia,1940,57.8,0,1990
Cameroon,2030,58.4,0,1990
Canada,3020,77.4,0,1990
Cape Verde,2370,69.9,0,1990
Central African Republic,1900,48.1,0,1990
Chad,1650,53.5,0,1990
Chile,2570,73.4,0.649,1990
China,2500,68.1,689,1990
Colombia,2560,71.5,0,1990
Comoros,,58.5,0,1990
"Congo, Dem. Rep.",,54.3,0,1990
"Congo, Rep.",2000,54,0,1990
Costa Rica,2740,76.9,0.26,1990
Cote d'Ivoire,2570,55.7,0,1990
Croatia,0,72.5,0,1990
Cuba,2920,75,,1990
Cyprus,2690,75.1,,1990
Czech Republic,0,71.6,0,1990
Czechoslovakia,3650,,,1990
Denmark,3160,75.2,0,1990
Djibouti,1610,60.6,0,1990
Dominica,2960,71.1,,1990
Dominican Republic,2070,72,0,1990
Ecuador,2260,72,0,1990
Egypt,3180,63.9,0,1990
El Salvador,2310,69.8,0,1990
Equatorial Guinea,,51.1,,1990
Eritrea,,46.2,,1990
Estonia,0,70,0,1990
Eswatini,2330,61.8,0,1990
Ethiopia,0,46.9,0,1990
Fiji,2680,66.3,0,1990
Finland,3150,75.4,0,1990
France,3510,77.2,0,1990
French Polynesia,2770,,,1990
Gabon,2360,60.5,0,1990
Gambia,2520,60.6,0,1990
Georgia,0,68.5,0,1990
Germany,3260,75.7,0,1990
Ghana,1730,59.4,0,1990
Greece,3540,77.2,0,1990
Grenada,2500,69.2,,1990
Guatemala,2360,61.4,0,1990
Guinea,2430,51.9,0,1990
Guinea-Bissau,2250,48.6,0,1990
Guyana,2360,62.4,0,1990
Haiti,1750,54.6,0,1990
Honduras,2310,69.1,2.3,1990
"Hong Kong, China",3180,77.5,,1990
Hungary,3380,69.5,0,1990
Iceland,3060,78.1,,1990
India,2210,59.6,0,1990
Indonesia,2340,64,96.9,1990
Iran,2880,66.7,2.17,1990
Iraq,3250,67,0,1990
Ireland,3620,75,0,1990
Israel,3400,77.3,0,1990
Italy,3590,77.2,0,1990
Jamaica,2640,75.3,0.0303,1990
Japan,2950,79.4,0,1990
Jordan,2770,71.2,0,1990
Kazakhstan,0,68.1,0,1990
Kenya,2040,62.1,0,1990
Kiribati,2620,54.6,,1990
Kuwait,2310,74.9,,1990
Kyrgyz Republic,0,67.3,0,1990
Lao,2020,52.9,0,1990
Latvia,0,69.8,0,1990
Lebanon,3230,69.9,,1990
Lesotho,2330,60.6,0,1990
Liberia,2160,49.1,0,1990
Libya,,72.6,,1990
Lithuania,0,71.4,0,1990
Luxembourg,0,75.3,,1990
"Macao, China",2840,,,1990
Madagascar,2190,55.9,0,1990
Malawi,1910,49.4,0,1990
Malaysia,2650,71.9,0,1990
Maldives,2290,65.5,0,1990
Mali,2400,50.2,0,1990
Malta,3020,76.6,,1990
Marshall Islands,,62.9,,1990
Mauritania,2500,59.4,0,1990
Mauritius,2790,70.2,,1990
Mexico,2970,70.8,0,1990
"Micronesia, Fed. Sts.",,61.3,0,1990
Moldova,0,68.3,0,1990
Monaco,,78.1,,1990
Mongolia,2260,60.4,,1990
Montenegro,0,74.7,0,1990
Morocco,3090,66.7,0,1990
Mozambique,1810,51.6,0,1990
Myanmar,1700,55.4,,1990
Namibia,2060,62.4,0,1990
Nauru,,62,,1990
Nepal,2190,58.3,0,1990
Netherlands,3280,77.2,0.2,1990
Netherlands Antilles,2630,,,1990
New Caledonia,2750,,,1990
New Zealand,3260,75.5,,1990
Nicaragua,1730,72.7,0,1990
Niger,2280,47.4,0,1990
Nigeria,2190,54.7,0,1990
North Korea,2370,68,,1990
North Macedonia,0,70.5,0,1990
Norway,3160,76.9,0,1990
Oman,2350,66.8,,1990
Pakistan,2340,61,0,1990
Palau,,64.9,,1990
Palestine,,69.1,0,1990
Panama,2240,76.4,0,1990
Papua New Guinea,,62.6,0,1990
Paraguay,2420,75.8,0.0446,1990
Peru,2020,69.2,0,1990
Philippines,2260,68.4,0,1990
Poland,3350,71.1,0,1990
Portugal,3400,74.3,,1990
Qatar,,69.9,,1990
Romania,3130,69.8,0,1990
Russia,0,69.5,0,1990
Rwanda,1820,50,0,1990
Samoa,2580,66.9,,1990
San Marino,,79.7,,1990
Sao Tome and Principe,2210,63.5,0,1990
Saudi Arabia,2870,68.1,,1990
Senegal,2240,58.6,0,1990
Serbia,0,70.8,0,1990
Serbia and Montenegro,0,,,1990
Seychelles,,70.6,0,1990
Sierra Leone,1950,51.1,2.54,1990
Singapore,,75.6,,1990
Slovak Republic,0,71.1,0,1990
Slovenia,0,74,0,1990
Solomon Islands,2110,55.8,,1990
Somalia,,49.3,,1990
South Africa,2830,64.2,0,1990
South Korea,2960,72.1,,1990
South Sudan,,54.5,,1990
Spain,3260,77,0.132,1990
Sri Lanka,2170,69.6,0,1990
St. Kitts and Nevis,2500,65.9,,1990
St. Lucia,2500,70.2,0,1990
St. Vincent and the Grenadines,2330,70.1,,1990
Sudan,1930,58.7,0,1990
Suriname,2450,68.9,0,1990
Sweden,2970,78,0,1990
Switzerland,3440,77.9,0,1990
Syria,,68.8,0,1990
Taiwan,2950,74.7,,1990
Tajikistan,0,66.9,0,1990
Tanzania,2190,55.3,0,1990
Thailand,2180,71.3,6.54,1990
Timor-Leste,1820,60.9,0,1990
Togo,2090,58,0,1990
Tonga,,71,,1990
Trinidad and Tobago,2630,69.6,0,1990
Tunisia,3150,72.3,0.478,1990
Turkey,3780,68.8,0,1990
Turkmenistan,0,66,0,1990
Tuvalu,,60.8,,1990
UAE,3080,68.7,,1990
Uganda,2330,48.5,0,1990
UK,3240,75.8,0,1990
Ukraine,0,70.6,0,1990
Uruguay,2530,73.2,0,1990
USA,3490,75.7,0,1990
USSR,3370,,,1990
Uzbekistan,0,69.3,,1990
Vanuatu,2570,63.1,,1990
Venezuela,2360,72.4,0,1990
Vietnam,1910,69.2,0,1990
Yemen,2050,59.1,0,1990
Yugoslavia,3670,,,1990
Zambia,2080,51.9,0,1990
Zimbabwe,2010,62.4,,1990
Afghanistan,2040,53.8,,1991
Albania,2570,72.6,0,1991
Algeria,2730,67.9,0,1991
Andorra,,79.1,,1991
Angola,1610,50.3,0,1991
Antigua and Barbuda,2530,74,,1991
Argentina,3010,72.7,0.321,1991
Armenia,0,70.3,0,1991
Australia,3120,77.4,0,1991
Austria,3560,76.1,0,1991
Azerbaijan,0,66.3,0,1991
Bahamas,2610,71,,1991
Bahrain,,69.5,,1991
Bangladesh,2120,56.8,0,1991
Barbados,3010,74.2,,1991
Belarus,0,70.8,0,1991
Belgium,0,76.4,0,1991
Belize,2520,73.1,0,1991
Benin,2200,56,0,1991
Bermuda,2790,,,1991
Bhutan,,60.9,0,1991
Bolivia,2020,62,0.364,1991
Bosnia and Herzegovina,0,72.5,0,1991
Botswana,2220,60.2,0,1991
Brazil,2780,67.9,0,1991
Brunei,2700,69.7,,1991
Bulgaria,3040,70.1,0,1991
Burkina Faso,2230,50.6,0,1991
Burundi,,48.1,0,1991
Cambodia,2010,58.2,0,1991
Cameroon,2020,58.2,0,1991
Canada,3040,77.6,0.093,1991
Cape Verde,2270,69.8,0,1991
Central African Republic,1910,47.5,0,1991
Chad,1800,53.6,0,1991
Chile,2600,74.2,0,1991
China,2430,68.4,0,1991
Colombia,2570,71,2.78,1991
Comoros,,58.7,0,1991
"Congo, Dem. Rep.",,54.2,0,1991
"Congo, Rep.",2000,53.7,0,1991
Costa Rica,2730,76.9,0.306,1991
Cote d'Ivoire,2580,55.1,0,1991
Croatia,0,72,0,1991
Cuba,2740,75.2,,1991
Cyprus,2750,75,,1991
Czech Republic,0,72.1,0,1991
Czechoslovakia,3300,,,1991
Denmark,3230,75.4,0,1991
Djibouti,1510,60.3,0,1991
Dominica,2900,71.1,,1991
Dominican Republic,2140,72.5,0,1991
Ecuador,2190,71.5,0,1991
Egypt,3170,64.5,2.56,1991
El Salvador,2410,70.1,0.926,1991
Equatorial Guinea,,51.2,,1991
Eritrea,,47,,1991
Estonia,0,69.5,0,1991
Eswatini,2290,61.9,0,1991
Ethiopia,0,48.4,0,1991
Fiji,2720,66.3,0,1991
Finland,3110,75.7,0,1991
France,3540,77.4,0,1991
French Polynesia,2770,,,1991
Gabon,2560,60.6,0,1991
Gambia,2550,60.8,0,1991
Georgia,0,68.4,0,1991
Germany,3320,75.8,0,1991
Ghana,2090,59.6,0,1991
Greece,3540,77.3,0,1991
Grenada,2460,69.7,,1991
Guatemala,2320,61.3,0,1991
Guinea,2420,52.4,5.95,1991
Guinea-Bissau,2320,49,0.43,1991
Guyana,2370,63,0,1991
Haiti,1750,54.6,0,1991
Honduras,2280,69.6,1.67,1991
"Hong Kong, China",3190,77.8,,1991
Hungary,3210,69.5,0,1991
Iceland,3120,78.2,,1991
India,2300,59.8,0,1991
Indonesia,2360,64.5,0,1991
Iran,2940,68.9,0,1991
Iraq,2360,67,0,1991
Ireland,3580,75.2,0,1991
Israel,3420,77.2,0,1991
Italy,3650,77.3,0.21,1991
Jamaica,2580,76.2,0,1991
Japan,2930,79.6,0,1991
Jordan,2820,71.4,0,1991
Kazakhstan,0,67.6,0,1991
Kenya,2030,61.2,0,1991
Kiribati,2720,54.6,,1991
Kuwait,1900,72.2,,1991
Kyrgyz Republic,0,67.2,0,1991
Lao,1990,53.5,0,1991
Latvia,0,69.4,0,1991
Lebanon,3280,71.7,,1991
Lesotho,2380,60.5,0,1991
Liberia,2350,52.2,0,1991
Libya,,73,,1991
Lithuania,0,70.5,0,1991
Luxembourg,0,75.5,,1991
"Macao, China",2790,,,1991
Madagascar,2100,56.3,0,1991
Malawi,1910,49,0,1991
Malaysia,2650,72.2,0,1991
Maldives,2370,66,0,1991
Mali,2370,50.6,0,1991
Malta,3160,76.8,,1991
Marshall Islands,,62.8,,1991
Mauritania,2520,59.9,0,1991
Mauritius,2790,70.8,,1991
Mexico,2990,71.3,0,1991
"Micronesia, Fed. Sts.",,61.4,0,1991
Moldova,0,67.6,0,1991
Monaco,,78.2,,1991
Mongolia,2190,60.4,,1991
Montenegro,0,75,0,1991
Morocco,3070,67,0.616,1991
Mozambique,1710,51.8,0,1991
Myanmar,1690,55.6,,1991
Namibia,2070,62.4,0,1991
Nauru,,61.9,,1991
Nepal,2220,58.9,0,1991
Netherlands,3340,77.3,0,1991
Netherlands Antilles,2620,,,1991
New Caledonia,2850,,,1991
New Zealand,3200,75.9,,1991
Nicaragua,1800,72.1,0,1991
Niger,2090,47.4,0,1991
Nigeria,2340,54.5,0,1991
North Korea,2370,68.2,,1991
North Macedonia,0,70.8,0,1991
Norway,3220,77.2,0.0153,1991
Oman,2330,67,,1991
Pakistan,2220,61,73.9,1991
Palau,,65.2,,1991
Palestine,,69.4,0,1991
Panama,2200,76.7,0.53,1991
Papua New Guinea,,62.5,0,1991
Paraguay,2390,76.5,0,1991
Peru,2180,69.2,0,1991
Philippines,2210,68.9,21,1991
Poland,3290,70.8,0,1991
Portugal,3430,74.3,,1991
Qatar,,69.8,,1991
Romania,2920,70.3,0,1991
Russia,0,69.3,0,1991
Rwanda,1950,49.9,0,1991
Samoa,2570,66.9,,1991
San Marino,,79.9,,1991
Sao Tome and Principe,2230,63.8,0,1991
Saudi Arabia,2870,68.5,,1991
Senegal,2240,58.9,5.09,1991
Serbia,0,70.5,0,1991
Serbia and Montenegro,0,,,1991
Seychelles,,70.8,0,1991
Sierra Leone,1990,50.7,0,1991
Singapore,,76.1,,1991
Slovak Republic,0,71.3,0,1991
Slovenia,0,74.2,0,1991
Solomon Islands,2180,55.8,,1991
Somalia,,48.1,,1991
South Africa,2820,64.3,0,1991
South Korea,2950,72.5,,1991
South Sudan,,54.7,,1991
Spain,3410,77.1,0,1991
Sri Lanka,2190,70.3,2.59,1991
St. Kitts and Nevis,2520,67.2,,1991
St. Lucia,2570,70.4,0,1991
St. Vincent and the Grenadines,2370,70.3,,1991
Sudan,2040,59.3,0,1991
Suriname,2550,68.7,0,1991
Sweden,2940,78.1,0,1991
Switzerland,3350,78.1,0,1991
Syria,,68.8,0,1991
Taiwan,2990,75,,1991
Tajikistan,0,66.7,0,1991
Tanzania,2230,54.8,0,1991
Thailand,2260,71.2,0,1991
Timor-Leste,1930,61,0,1991
Togo,1930,58,0,1991
Tonga,,71.1,,1991
Trinidad and Tobago,2670,69.9,0,1991
Tunisia,3110,72.3,0,1991
Turkey,3720,69.3,0,1991
Turkmenistan,0,65.5,0,1991
Tuvalu,,61.3,,1991
UAE,3070,68.7,,1991
Uganda,2270,48.1,0,1991
UK,3210,76.1,0.391,1991
Ukraine,0,69.9,0,1991
Uruguay,2700,73.4,0,1991
