Country,Food Supply(kilocalories/person&day),Life Expectancy(in years),Number of People in Poverty on Average,Year
Egypt,3060,59.1,0,1982
El Salvador,2240,62,0,1982
Equatorial Guinea,,50.9,,1982
Eritrea,,43.6,,1982
Estonia,0,69.9,0,1982
Eswatini,2440,58.2,0,1982
Ethiopia,0,45.3,25.6,1982
Fiji,2480,66.2,0,1982
Finland,3110,74.7,0,1982
France,3420,75.1,0,1982
French Polynesia,2740,,,1982
Gabon,2350,58.7,0,1982
Gambia,2080,58.9,0,1982
Georgia,0,69.1,0,1982
Germany,3340,73.8,0,1982
Ghana,1490,57.7,0,1982
Greece,3410,75.6,0,1982
Grenada,2190,69.5,,1982
Guatemala,2260,55.5,0,1982
Guinea,2350,48.1,0,1982
Guinea-Bissau,2140,45.7,0,1982
Guyana,2460,62.7,0,1982
Haiti,1960,52,0,1982
Honduras,2030,68.3,0,1982
"Hong Kong, China",3000,75.5,,1982
Hungary,3410,69.3,0,1982
Iceland,3190,77,,1982
India,2030,56.3,0,1982
Indonesia,2320,60.9,0,1982
Iran,2700,64.4,0,1982
Iraq,2960,58,0,1982
Ireland,3610,73.3,0,1982
Israel,3290,74.7,0,1982
Italy,3390,75,0,1982
Jamaica,2520,74,0,1982
Japan,2810,77.3,0,1982
Jordan,2590,67.6,0,1982
Kazakhstan,0,67.5,0,1982
Kenya,2260,62.8,0,1982
Kiribati,2810,54.6,,1982
Kuwait,3020,73.5,,1982
Kyrgyz Republic,0,65.2,0,1982
Lao,1970,48.4,0,1982
Latvia,0,69.8,0,1982
Lebanon,2870,48.6,,1982
Lesotho,2270,59.2,0,1982
Liberia,2560,51.3,0,1982
Libya,,70.4,,1982
Lithuania,0,70.9,0,1982
Luxembourg,0,72.9,,1982
"Macao, China",2970,,,1982
Madagascar,2260,54.5,0,1982
Malawi,2260,49.5,0,1982
Malaysia,2740,70.2,0,1982
Maldives,2330,58,0,1982
Mali,1800,46.8,0,1982
Malta,3090,73.4,,1982
Marshall Islands,,63.2,,1982
Mauritania,2190,57.2,0,1982
Mauritius,2640,68.5,,1982
Mexico,3130,67.2,0,1982
"Micronesia, Fed. Sts.",,59.7,0,1982
Moldova,0,66.2,0,1982
Monaco,,76.2,,1982
Mongolia,2330,58,,1982
Montenegro,0,73.3,0,1982
Morocco,2780,62.4,0,1982
Mozambique,1740,48.2,0,1982
Myanmar,1670,51.7,,1982
Namibia,2210,59.4,0,1982
Nauru,,62.5,,1982
Nepal,1760,52.9,0,1982
Netherlands,3090,76.2,0,1982
Netherlands Antilles,3750,,,1982
New Caledonia,2910,,,1982
New Zealand,3080,74,,1982
Nicaragua,2010,66.8,0,1982
Niger,2220,45.1,0,1982
Nigeria,1880,54.5,0,1982
North Korea,2010,64.9,,1982
North Macedonia,0,70.8,0,1982
Norway,3150,76.3,0,1982
Oman,0,63,,1982
Pakistan,2250,60.7,0,1982
Palau,,62.7,,1982
Palestine,,42.3,0,1982
Panama,2290,74.6,0,1982
Papua New Guinea,,62.2,0,1982
Paraguay,2520,74.2,0,1982
Peru,2160,66,0,1982
Philippines,2200,66.1,0,1982
Poland,3280,71.5,0,1982
Portugal,2820,72.6,,1982
Qatar,,70.2,,1982
Romania,2970,70,0,1982
Russia,0,68.5,0,1982
Rwanda,2370,50.2,0,1982
Samoa,2510,65.5,,1982
San Marino,,77.3,,1982
Sao Tome and Principe,2030,61.7,0,1982
Saudi Arabia,2900,66.9,,1982
Senegal,2370,54.1,0,1982
Serbia,0,69.6,0,1982
Serbia and Montenegro,0,,,1982
Seychelles,,70.7,0,1982
Sierra Leone,2100,48.7,0,1982
Singapore,,72.3,,1982
Slovak Republic,0,71,0,1982
Slovenia,0,71.2,0,1982
Solomon Islands,2240,54.9,,1982
Somalia,,48.8,,1982
South Africa,2910,60.2,0,1982
South Korea,2940,68.6,,1982
South Sudan,,53.3,,1982
Spain,3070,76.2,0,1982
